estado,year,nivel
Tabasco,2009,1.7843137254901962
Tabasco,2010,2.3486238532110093
Tabasco,2011,0.8095238095238095
Tabasco,2012,0.0
Tabasco,2013,0.0
Tabasco,2014,0.0
Tabasco,2015,0.793939393939394
Tabasco,2016,0.5445205479452054
Tabasco,2017,0.6932907348242812
Tabasco,2018,1.3598726114649682
Tabasco,2019,1.8337531486146095
Tabasco,2020,0.872093023255814
Tabasco,2021,0.0
Tabasco,2022,0.0
Tabasco,2023,0.5288888888888889
Tabasco,2024,1.1166666666666667
Tamaulipas,2003,0.11450381679389313
Tamaulipas,2004,0.0
Tamaulipas,2005,0.1702127659574468
Tamaulipas,2006,0.8133333333333334
Tamaulipas,2007,0.22131147540983606
Tamaulipas,2008,0.9285714285714286
Tamaulipas,2009,0.6643835616438356
Tamaulipas,2010,0.22033898305084745
Tamaulipas,2011,1.7020316027088036
Tamaulipas,2012,1.0272727272727273
Tamaulipas,2013,1.099630996309963
Tamaulipas,2014,0.20689655172413793
Tamaulipas,2015,0.11046511627906977
Tamaulipas,2016,0.1912568306010929
Tamaulipas,2017,0.3241167434715822
Tamaulipas,2018,0.5744274809160306
Tamaulipas,2019,0.7953757225433526
Tamaulipas,2020,0.726890756302521
Tamaulipas,2021,1.1059602649006623
Tamaulipas,2022,1.0591517857142858
Tamaulipas,2023,1.3846153846153846
Tamaulipas,2024,1.9873188405797102
Tlaxcala,2003,0.0
Tlaxcala,2004,0.0
Tlaxcala,2005,0.0
Tlaxcala,2006,0.46735395189003437
Tlaxcala,2007,0.45104895104895104
Tlaxcala,2008,0.3474747474747475
Tlaxcala,2009,0.8291666666666667
Tlaxcala,2010,0.0
Tlaxcala,2011,1.1049562682215743
Tlaxcala,2013,0.026041666666666668
Tlaxcala,2014,0.0
Tlaxcala,2015,0.0
Tlaxcala,2016,0.0
Tlaxcala,2017,0.13849765258215962
Tlaxcala,2018,0.0
Tlaxcala,2019,0.0
Tlaxcala,2020,0.09777777777777778
Tlaxcala,2021,0.477797513321492
Tlaxcala,2022,0.1650485436893204
Tlaxcala,2023,0.32441113490364026
Tlaxcala,2024,1.076069730586371
Veracruz de Ignacio de la Llave,2003,0.32710280373831774
Veracruz de Ignacio de la Llave,2004,0.16666666666666666
Veracruz de Ignacio de la Llave,2005,0.5197827773467805
Veracruz de Ignacio de la Llave,2006,0.24500665778961384
Veracruz de Ignacio de la Llave,2007,0.4737550471063257
Veracruz de Ignacio de la Llave,2008,0.4732080723729993
Veracruz de Ignacio de la Llave,2009,0.2361411087113031
Veracruz de Ignacio de la Llave,2010,0.7024793388429752
Veracruz de Ignacio de la Llave,2011,0.998719590268886
Veracruz de Ignacio de la Llave,2012,0.0
Veracruz de Ignacio de la Llave,2013,0.017793594306049824
Veracruz de Ignacio de la Llave,2014,0.08287292817679558
Veracruz de Ignacio de la Llave,2015,0.2879045996592845
Veracruz de Ignacio de la Llave,2016,0.5554302893649005
Veracruz de Ignacio de la Llave,2017,0.18271604938271604
Veracruz de Ignacio de la Llave,2018,0.7366920152091255
Veracruz de Ignacio de la Llave,2019,1.25
Veracruz de Ignacio de la Llave,2020,0.542189088444595
Veracruz de Ignacio de la Llave,2021,0.22149837133550487
Veracruz de Ignacio de la Llave,2022,0.3415013613380008
Veracruz de Ignacio de la Llave,2023,0.6408526713437669
Veracruz de Ignacio de la Llave,2024,1.2735729386892178
Yucatán,2003,0.0
Yucatán,2004,0.016981132075471698
Yucatán,2005,0.03571428571428571
Yucatán,2006,0.017374517374517374
Yucatán,2007,0.7885196374622356
Yucatán,2008,0.3285024154589372
Yucatán,2009,1.8832807570977919
Yucatán,2010,1.4506892895015906
Yucatán,2011,1.36
Yucatán,2012,0.0
Yucatán,2013,0.030042918454935622
Yucatán,2014,0.0
Yucatán,2015,0.4407114624505929
Yucatán,2016,0.5098777046095955
Yucatán,2017,0.42990654205607476
Yucatán,2018,0.3219971056439942
Yucatán,2019,0.34327449786975045
Yucatán,2020,0.7065073041168659
Yucatán,2021,0.0
Yucatán,2022,0.11605415860735009
Yucatán,2023,0.5167923235092529
Yucatán,2024,0.7046413502109705
Zacatecas,2003,0.0
Zacatecas,2004,0.0
Zacatecas,2005,0.04819277108433735
Zacatecas,2006,0.8401826484018264
Zacatecas,2007,0.4796747967479675
Zacatecas,2008,0.9872611464968153
Zacatecas,2009,0.6623376623376623
Zacatecas,2010,0.2
Zacatecas,2011,2.258223684210526
Zacatecas,2012,0.9982078853046595
Zacatecas,2013,0.23214285714285715
Zacatecas,2014,0.0446927374301676
Zacatecas,2015,0.0
Zacatecas,2016,0.13672922252010725
Zacatecas,2017,0.31275720164609055
Zacatecas,2018,0.232
Zacatecas,2019,0.2789473684210526
Zacatecas,2020,0.4091680814940577
Zacatecas,2021,1.5436893203883495
Zacatecas,2022,0.6975560081466395
Zacatecas,2023,1.850453172205438
Zacatecas,2024,1.1995708154506437
